item_id,condition,rollout_index,original_status,v2_status,original_parsed_answer,v2_parsed_answer,reference_answer,v2_correct,v2_parse_reason,disagreement_reason
sample_87,BASELINE,0,VALID_CORRECT,VALID_CORRECT,-2139-1,-2139-1,'-2139-1',True,,unchanged
sample_87,TEXTUAL_CAREFUL_REFERENCE,0,VALID_CORRECT,VALID_CORRECT,-2139-1,-2139-1,'-2139-1',True,,unchanged
sample_87,TEXTUAL_DIRECT_REFERENCE,0,VALID_CORRECT,VALID_CORRECT,-2139-1,-2139-1,'-2139-1',True,,unchanged
sample_87,BEST_SINGLE_MEAN_PLUS,0,VALID_CORRECT,VALID_CORRECT,-2139-1,-2139-1,'-2139-1',True,,unchanged
sample_87,MULTILAYER_MEAN_PLUS,0,INVALID_FORMAT,VALID_CORRECT,-2139-1,-2139-1,'-2139-1',True,,V2 accepted one unique FINAL commitment with allowed formatting
sample_87,MULTILAYER_MEAN_MINUS,0,VALID_CORRECT,VALID_CORRECT,-2139-1,-2139-1,'-2139-1',True,,unchanged
sample_87,MULTILAYER_RANDOM_MEAN_R0,0,VALID_CORRECT,VALID_CORRECT,-2139-1,-2139-1,'-2139-1',True,,unchanged
sample_87,MULTILAYER_RANDOM_MEAN_R1,0,VALID_CORRECT,VALID_CORRECT,-2139-1,-2139-1,'-2139-1',True,,unchanged
sample_87,MULTILAYER_RANDOM_MEAN_R2,0,VALID_CORRECT,VALID_CORRECT,-2139-1,-2139-1,'-2139-1',True,,unchanged
sample_87,MULTILAYER_RANDOM_MEAN_R3,0,VALID_CORRECT,VALID_CORRECT,-2139-1,-2139-1,'-2139-1',True,,unchanged
sample_66,BASELINE,0,VALID_WRONG,VALID_WRONG,'ap','ap','',False,,unchanged
sample_66,TEXTUAL_CAREFUL_REFERENCE,0,VALID_WRONG,VALID_WRONG,ppah,ppah,'',False,,unchanged
sample_66,TEXTUAL_DIRECT_REFERENCE,0,VALID_WRONG,VALID_WRONG,'ap','ap','',False,,unchanged
sample_66,BEST_SINGLE_MEAN_PLUS,0,VALID_WRONG,VALID_WRONG,ah**,ah,'',False,,V2 extracted a different final payload
sample_66,MULTILAYER_MEAN_PLUS,0,INVALID_FORMAT,VALID_WRONG,h,h,'',False,,V2 accepted one unique FINAL commitment with allowed formatting
sample_66,MULTILAYER_MEAN_MINUS,0,VALID_WRONG,VALID_WRONG,'ppy','ppy','',False,,unchanged
