phase,item_id,condition,rollout_index,v2_status,v2_parsed_answer,v2_correct,v3_status,v3_commitment_valid,v3_semantic_evaluable,v3_value_type,v3_canonical_value,v3_payload,v3_correct,v3_failure_reason,reason_for_change,reference_type,generated_token_count
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_87,SINGLE_L27_RANDOM_R0,0,VALID_CORRECT,-2139-1,True,VALID_CORRECT,True,True,str,"[""str"",""-2139-1""]",-2139-1,True,,unchanged,str,10
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_87,SINGLE_L27_RANDOM_R1,0,VALID_WRONG,-21391-1,False,VALID_WRONG,True,True,str,"[""str"",""-21391-1""]",-21391-1,False,,unchanged,str,11
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_87,SINGLE_L27_RANDOM_R2,0,VALID_CORRECT,-2139-1,True,VALID_CORRECT,True,True,str,"[""str"",""-2139-1""]",-2139-1,True,,unchanged,str,10
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_87,SINGLE_L27_RANDOM_R3,0,VALID_CORRECT,-2139-1,True,VALID_CORRECT,True,True,str,"[""str"",""-2139-1""]",-2139-1,True,,unchanged,str,10
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_66,SINGLE_L27_RANDOM_R0,0,VALID_WRONG,'ppy',False,VALID_WRONG,True,True,str,"[""str"",""ppy""]",'ppy',False,,unchanged,str,6
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_66,SINGLE_L27_RANDOM_R1,0,VALID_WRONG,'ppy',False,VALID_WRONG,True,True,str,"[""str"",""ppy""]",'ppy',False,,unchanged,str,6
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_66,SINGLE_L27_RANDOM_R2,0,VALID_WRONG,'ppy',False,VALID_WRONG,True,True,str,"[""str"",""ppy""]",'ppy',False,,unchanged,str,6
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_66,SINGLE_L27_RANDOM_R3,0,VALID_WRONG,'ppy',False,VALID_WRONG,True,True,str,"[""str"",""ppy""]",'ppy',False,,unchanged,str,6
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_400,SINGLE_L27_RANDOM_R0,0,VALID_CORRECT,"I, am, hungry!, eat, food.",True,VALID_CORRECT,True,True,str,"[""str"",""I, am, hungry!, eat, food.""]","I, am, hungry!, eat, food.",True,,unchanged,str,13
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_400,SINGLE_L27_RANDOM_R1,0,VALID_CORRECT,"I, am, hungry!, eat, food.",True,VALID_CORRECT,True,True,str,"[""str"",""I, am, hungry!, eat, food.""]","I, am, hungry!, eat, food.",True,,unchanged,str,13
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_400,SINGLE_L27_RANDOM_R2,0,VALID_CORRECT,"I, am, hungry!, eat, food.",True,VALID_CORRECT,True,True,str,"[""str"",""I, am, hungry!, eat, food.""]","I, am, hungry!, eat, food.",True,,unchanged,str,13
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_400,SINGLE_L27_RANDOM_R3,0,VALID_CORRECT,"I, am, hungry!, eat, food.",True,VALID_CORRECT,True,True,str,"[""str"",""I, am, hungry!, eat, food.""]","I, am, hungry!, eat, food.",True,,unchanged,str,13
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_294,SINGLE_L27_RANDOM_R0,0,VALID_WRONG,2xz&5H3*1a@#a*1hris,False,VALID_WRONG,True,True,str,"[""str"",""2xz&5H3*1a@#a*1hris""]",2xz&5H3*1a@#a*1hris,False,,unchanged,str,20
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_294,SINGLE_L27_RANDOM_R1,0,VALID_WRONG,2mz&5H3*1a@#a*1hris,False,VALID_WRONG,True,True,str,"[""str"",""2mz&5H3*1a@#a*1hris""]",2mz&5H3*1a@#a*1hris,False,,unchanged,str,21
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_294,SINGLE_L27_RANDOM_R2,0,VALID_WRONG,2xz&5H3*1a@#a*1hris,False,VALID_WRONG,True,True,str,"[""str"",""2xz&5H3*1a@#a*1hris""]",2xz&5H3*1a@#a*1hris,False,,unchanged,str,20
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_294,SINGLE_L27_RANDOM_R3,0,VALID_WRONG,2xz&5H3*1a@#a*1hris,False,VALID_WRONG,True,True,str,"[""str"",""2xz&5H3*1a@#a*1hris""]",2xz&5H3*1a@#a*1hris,False,,unchanged,str,20
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_510,SINGLE_L27_RANDOM_R0,0,VALID_CORRECT,Wy,True,VALID_CORRECT,True,True,str,"[""str"",""Wy""]",Wy,True,,unchanged,str,4
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_510,SINGLE_L27_RANDOM_R1,0,VALID_CORRECT,Wy,True,VALID_CORRECT,True,True,str,"[""str"",""Wy""]",Wy,True,,unchanged,str,4
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_510,SINGLE_L27_RANDOM_R2,0,VALID_CORRECT,'Wy',True,VALID_CORRECT,True,True,str,"[""str"",""Wy""]",'Wy',True,,unchanged,str,6
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_510,SINGLE_L27_RANDOM_R3,0,VALID_CORRECT,Wy,True,VALID_CORRECT,True,True,str,"[""str"",""Wy""]",Wy,True,,unchanged,str,4
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_233,SINGLE_L27_RANDOM_R0,0,VALID_WRONG,"[3, 2, 1]",False,VALID_WRONG,True,True,list,"[""list"",[[""int"",3],[""int"",2],[""int"",1]]]","[3, 2, 1]",False,,unchanged,list,12
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_233,SINGLE_L27_RANDOM_R1,0,VALID_WRONG,"[3, 2, 1]",False,VALID_WRONG,True,True,list,"[""list"",[[""int"",3],[""int"",2],[""int"",1]]]","[3, 2, 1]",False,,unchanged,list,12
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_233,SINGLE_L27_RANDOM_R2,0,VALID_WRONG,"[3, 2, 1]",False,VALID_WRONG,True,True,list,"[""list"",[[""int"",3],[""int"",2],[""int"",1]]]","[3, 2, 1]",False,,unchanged,list,12
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_233,SINGLE_L27_RANDOM_R3,0,VALID_WRONG,"[3, 2, 1]",False,VALID_WRONG,True,True,list,"[""list"",[[""int"",3],[""int"",2],[""int"",1]]]","[3, 2, 1]",False,,unchanged,list,12
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_634,SINGLE_L27_RANDOM_R0,0,VALID_CORRECT,biec,True,VALID_CORRECT,True,True,str,"[""str"",""biec""]",biec,True,,unchanged,str,5
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_634,SINGLE_L27_RANDOM_R1,0,VALID_CORRECT,biec,True,VALID_CORRECT,True,True,str,"[""str"",""biec""]",biec,True,,unchanged,str,5
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_634,SINGLE_L27_RANDOM_R2,0,VALID_WRONG,bic,False,VALID_WRONG,True,True,str,"[""str"",""bic""]",bic,False,,unchanged,str,4
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_634,SINGLE_L27_RANDOM_R3,0,VALID_CORRECT,biec,True,VALID_CORRECT,True,True,str,"[""str"",""biec""]",biec,True,,unchanged,str,5
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_203,SINGLE_L27_RANDOM_R0,0,VALID_CORRECT,{},True,VALID_CORRECT,True,True,dict,"[""dict"",[]]",{},True,,unchanged,dict,4
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_203,SINGLE_L27_RANDOM_R1,0,VALID_CORRECT,{},True,VALID_CORRECT,True,True,dict,"[""dict"",[]]",{},True,,unchanged,dict,4
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_203,SINGLE_L27_RANDOM_R2,0,VALID_CORRECT,{},True,VALID_CORRECT,True,True,dict,"[""dict"",[]]",{},True,,unchanged,dict,4
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_203,SINGLE_L27_RANDOM_R3,0,VALID_CORRECT,{},True,VALID_CORRECT,True,True,dict,"[""dict"",[]]",{},True,,unchanged,dict,4
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_273,SINGLE_L27_RANDOM_R0,0,VALID_WRONG,.ET,False,VALID_WRONG,True,True,str,"[""str"","".ET""]",.ET,False,,unchanged,str,5
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_273,SINGLE_L27_RANDOM_R1,0,VALID_WRONG,.E.N,False,VALID_WRONG,True,True,str,"[""str"","".E.N""]",.E.N,False,,unchanged,str,6
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_273,SINGLE_L27_RANDOM_R2,0,VALID_WRONG,.NET,False,VALID_WRONG,True,True,str,"[""str"","".NET""]",.NET,False,,unchanged,str,5
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_273,SINGLE_L27_RANDOM_R3,0,VALID_WRONG,.ET.,False,VALID_WRONG,True,True,str,"[""str"","".ET.""]",.ET.,False,,unchanged,str,6
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_628,SINGLE_L27_RANDOM_R0,0,VALID_CORRECT,"[4, 3, 6, 1]",True,VALID_CORRECT,True,True,list,"[""list"",[[""int"",4],[""int"",3],[""int"",6],[""int"",1]]]","[4, 3, 6, 1]",True,,unchanged,list,15
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_628,SINGLE_L27_RANDOM_R1,0,VALID_CORRECT,"[4, 3, 6, 1]",True,VALID_CORRECT,True,True,list,"[""list"",[[""int"",4],[""int"",3],[""int"",6],[""int"",1]]]","[4, 3, 6, 1]",True,,unchanged,list,15
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_628,SINGLE_L27_RANDOM_R2,0,VALID_CORRECT,"[4, 3, 6, 1]",True,VALID_CORRECT,True,True,list,"[""list"",[[""int"",4],[""int"",3],[""int"",6],[""int"",1]]]","[4, 3, 6, 1]",True,,unchanged,list,15
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_628,SINGLE_L27_RANDOM_R3,0,VALID_CORRECT,"[4, 3, 6, 1]",True,VALID_CORRECT,True,True,list,"[""list"",[[""int"",4],[""int"",3],[""int"",6],[""int"",1]]]","[4, 3, 6, 1]",True,,unchanged,list,15
GATE6_3_MATCHED_RANDOM_SUPPLEMENT,sample_327,SINGLE_L27_RANDOM_R0,0,INVALID_FORMAT,"[-3, -(-1), -7, -1]",False,VALID_WRONG,True,True,str,"[""str"",""[-3, -(-1), -7, -1]""]","[-3, -(-1), -7, -1]",False,,V3 represents one unambiguous wrong commitment instead of mechanical invalidity,list,16
