item_id,condition,rollout_index,affects_commitment_validity,affects_semantic_evaluability,affects_correctness,affects_G_C_D,affects_rescue_damage,item_metric_delta_json
sample_386,TEXTUAL_CAREFUL_REFERENCE,0,True,True,True,True,True,"{""TEXTUAL_CAREFUL_REFERENCE"": {""C"": 0.0, ""D"": 0.0, ""G"": 0.0, ""damage"": -0.008333333333333333, ""rescue"": 0.0}}"
sample_223,TEXTUAL_CAREFUL_REFERENCE,0,True,True,False,False,False,"{""TEXTUAL_CAREFUL_REFERENCE"": {""C"": -0.0004237288135593223, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_136,BEST_SINGLE_MEAN_PLUS,0,True,True,True,True,True,"{""BEST_SINGLE_MEAN_PLUS"": {""C"": 0.00805084745762712, ""D"": 0.0, ""G"": 0.008333333333333333, ""damage"": 0.0, ""rescue"": 0.008333333333333333}}"
sample_136,BEST_SINGLE_MEAN_PLUS,1,True,True,False,False,False,"{""BEST_SINGLE_MEAN_PLUS"": {""C"": 0.00805084745762712, ""D"": 0.0, ""G"": 0.008333333333333333, ""damage"": 0.0, ""rescue"": 0.008333333333333333}}"
sample_136,SINGLE_L27_RANDOM_R1,0,True,True,False,False,False,"{""SINGLE_L27_RANDOM_R1"": {""C"": 0.0, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_136,SINGLE_L27_RANDOM_R1,1,True,True,False,False,False,"{""SINGLE_L27_RANDOM_R1"": {""C"": 0.0, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_685,BEST_SINGLE_MEAN_PLUS,1,True,True,False,False,False,"{""BEST_SINGLE_MEAN_PLUS"": {""C"": -0.0004237288135593214, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_685,SINGLE_L27_RANDOM_R0,0,True,True,False,False,False,"{""SINGLE_L27_RANDOM_R0"": {""C"": 0.0, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_685,SINGLE_L27_RANDOM_R0,1,True,True,False,False,False,"{""SINGLE_L27_RANDOM_R0"": {""C"": 0.0, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_685,SINGLE_L27_RANDOM_R1,0,True,True,False,False,False,"{""SINGLE_L27_RANDOM_R1"": {""C"": 0.0, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_685,SINGLE_L27_RANDOM_R1,1,True,True,False,False,False,"{""SINGLE_L27_RANDOM_R1"": {""C"": 0.0, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_685,SINGLE_L27_RANDOM_R2,0,True,True,False,False,False,"{""SINGLE_L27_RANDOM_R2"": {""C"": 0.0, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_685,SINGLE_L27_RANDOM_R3,0,True,True,False,False,False,"{""SINGLE_L27_RANDOM_R3"": {""C"": 0.0, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_685,SINGLE_L27_RANDOM_R3,1,True,True,False,False,False,"{""SINGLE_L27_RANDOM_R3"": {""C"": 0.0, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_591,TEXTUAL_CAREFUL_REFERENCE,0,True,True,False,False,False,"{""TEXTUAL_CAREFUL_REFERENCE"": {""C"": -0.0004237288135593223, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_591,BEST_SINGLE_MEAN_PLUS,1,True,True,False,False,False,"{""BEST_SINGLE_MEAN_PLUS"": {""C"": -0.0004237288135593214, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_665,BEST_SINGLE_MEAN_PLUS,0,False,False,False,False,False,"{""BEST_SINGLE_MEAN_PLUS"": {""C"": -0.0004237288135593214, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_135,BEST_SINGLE_MEAN_PLUS,0,True,True,True,True,True,"{""BEST_SINGLE_MEAN_PLUS"": {""C"": 0.0, ""D"": 0.0, ""G"": 0.0, ""damage"": -0.008333333333333333, ""rescue"": 0.0}}"
sample_115,TEXTUAL_CAREFUL_REFERENCE,0,True,True,True,True,True,"{""TEXTUAL_CAREFUL_REFERENCE"": {""C"": 0.01652542372881356, ""D"": 0.016666666666666666, ""G"": 0.016666666666666666, ""damage"": 0.0, ""rescue"": 0.016666666666666666}}"
sample_115,TEXTUAL_CAREFUL_REFERENCE,1,True,True,True,True,True,"{""TEXTUAL_CAREFUL_REFERENCE"": {""C"": 0.01652542372881356, ""D"": 0.016666666666666666, ""G"": 0.016666666666666666, ""damage"": 0.0, ""rescue"": 0.016666666666666666}}"
sample_115,BEST_SINGLE_MEAN_PLUS,0,True,True,True,True,True,"{""BEST_SINGLE_MEAN_PLUS"": {""C"": 0.00805084745762712, ""D"": 0.0, ""G"": 0.008333333333333333, ""damage"": 0.0, ""rescue"": 0.008333333333333333}}"
sample_115,BEST_SINGLE_MEAN_PLUS,1,True,True,False,False,False,"{""BEST_SINGLE_MEAN_PLUS"": {""C"": 0.00805084745762712, ""D"": 0.0, ""G"": 0.008333333333333333, ""damage"": 0.0, ""rescue"": 0.008333333333333333}}"
sample_115,SINGLE_L27_RANDOM_R0,1,True,True,False,False,False,"{""SINGLE_L27_RANDOM_R0"": {""C"": 0.0, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_115,SINGLE_L27_RANDOM_R1,0,True,True,False,False,False,"{""SINGLE_L27_RANDOM_R1"": {""C"": 0.0, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_115,SINGLE_L27_RANDOM_R1,1,True,True,False,False,False,"{""SINGLE_L27_RANDOM_R1"": {""C"": 0.0, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_115,SINGLE_L27_RANDOM_R2,1,True,True,False,False,False,"{""SINGLE_L27_RANDOM_R2"": {""C"": 0.0, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
sample_592,BEST_SINGLE_MEAN_PLUS,1,True,True,False,False,False,"{""BEST_SINGLE_MEAN_PLUS"": {""C"": 0.0, ""D"": 0.0, ""G"": 0.0, ""damage"": 0.0, ""rescue"": 0.0}}"
